,lang,class,message,created_time,month,year,platform,username
41,filipino,a,hindi lahat ng pilipino mag avail ng bakunang yan kung in the first place palang marami ng namatay sa bakuna niyo gusto ko pang mabuhay para sa family ko without your injections,2021-01-27 05:48:11+00:00,january,2021.0,Facebook,
42,filipino,a,nakuu kapareho din pala ng sintomas pgka may covid ka! kayo na muna para malaman namin na wala ngang side effects! hindi naman tayo pare pareho ng kalusugan para tanggapin ng katawan ang bakuna na yan!,2021-01-27 05:49:11+00:00,january,2021.0,Facebook,
43,filipino,n,dami ng namamatay,2021-01-26 08:02:58+00:00,january,2021.0,Facebook,
44,filipino,a,ang daming namamatay lately. sana hindi na dumami yung mga kaso ng uk variant. 🤞,2021-01-26 08:05:40+00:00,january,2021.0,Facebook,
45,filipino,n,panibagng sakit na naman.isang napakalaking kasinungalingan na naman.pahihirapan na naman ang sambayanan.. wala daw gamot pero marami ang gumagaling.ano kayang kaisipan meron itong doh at mga doctor...,2021-01-25 22:45:07+00:00,january,2021.0,Facebook,
46,filipino,a,ako ayaw ko magpa vaccine baka dto ako mamatay hindi ako namayta sa covid dto sa vaccines ka matigok,2021-01-25 11:25:07+00:00,january,2021.0,Facebook,
47,filipino,a,ayaw kong mag pa inject dito sa vaccine kase imbes na dika mamatay sa covid mamatay ka na dito sa vaccine. bahala na dyan.,2021-01-25 11:39:01+00:00,january,2021.0,Facebook,
48,filipino,a,ja ma ica tama po marami na kaming nakikitang video na mamatay daw tayo kapag magpapabakuna ng vaccine,2021-01-25 11:47:27+00:00,january,2021.0,Facebook,
49,filipino,a,christina mendavia.kase pinapanood ko rin sa news eh.kaya mas better pa na kusa nalang na mamatay tayo kaysa mamatay ka sa vaccine o covid..,2021-01-25 11:50:35+00:00,january,2021.0,Facebook,
50,english,a,is it true that vaccine can alter our dna? thats why theyre pushing to vaccine the world in order to fulfill the goal of the antichrist to manipulate us?,2021-01-25 11:00:51+00:00,january,2021.0,Facebook,
51,filipino,a,"13 na gumaling, diba wala pa ho vaccine? nako po baka pag nag pa vaccine tayo lethal injection. na ho yon!",2021-01-25 08:11:04+00:00,january,2021.0,Facebook,
52,filipino,p,dami ng namatay dyan sa bakuna na yan,2021-01-24 12:51:02+00:00,january,2021.0,Facebook,
53,filipino,a,dami araw araw pumanaw dahil sa covid baka naman hindi covid ang natigok ginawa niyo covid doh mula si duque secretary puro na covid ang sakit pati natigok covid wala ng normal na sakit at natigok jesus christ my god,2021-01-23 08:06:54+00:00,january,2021.0,Facebook,
54,english,n,"i'm a concerned citizen and i just wanna ask when is the sputnik and pfizer vaccines be delivered in the country, i hope that someone will answer me",2021-01-23 03:29:43+00:00,january,2021.0,Facebook,
55,filipino,a,wala na tapos na!! di na na contain.. history repeat itself.. ganyan din nung mga december 2019 biglang bumulusok ang may covid.. lalo na ngayon na mas matindi maka infect ang variant ng covid na yan..,2021-01-22 15:19:20+00:00,january,2021.0,Facebook,
56,filipino,a,nakakatakot naman,2021-01-22 11:21:24+00:00,january,2021.0,Facebook,
57,filipino,a,dumarami na naman ang active cases ng covid 19 dahil yan sa pagiging kampante ng mga pilipino sa covid 19,2021-01-21 08:09:03+00:00,january,2021.0,Facebook,
58,filipino,a,bakunahan nyo sarili wag kami,2021-01-20 11:54:48+00:00,january,2021.0,Facebook,
59,filipino,a,"magpabakuna para sa ikakamatay ng tao, bakit ngayon sa norway daming namatay, sobrang hirap na ngayon sa bansa natin dagdagan, pa sa vaccine na walang kasiguraduhan😡😡",2021-01-20 12:54:19+00:00,january,2021.0,Facebook,
60,filipino,n,balita: 23 katao namatay pala sa bakuna sa covid 19 sa bansang norway,2021-01-20 13:06:38+00:00,january,2021.0,Facebook,
61,filipino,a,pwede po bang paki-explain maigi? bakit po sa mild cases e 50% lang ang efficacy tapos sa severe cases 100% ????? ituturok po ba ang vaccine sa may covid?? paki-explain pong maigi yan!!,2021-02-27 12:17:16+00:00,february,2021.0,Facebook,
62,filipino,a,ano po ang pinaka safe na vaccine ngayon yon tested at talagang napatunayan na.?,2021-02-27 12:17:53+00:00,february,2021.0,Facebook,
63,filipino,a,grabe ang dami na araw araw kakatakot.,2021-02-26 08:07:50+00:00,february,2021.0,Facebook,
64,filipino,a,"sige doh pananakot pa more para magpabakuna mga tao sa ""pekeng sinovac"" ....😥😥😥 hindi kayo titigil ng pananakot hanggat kumikita kayo sa pekeng gamot at mga produkto ng chinese ... mga kurap kayo!",2021-02-26 08:08:35+00:00,february,2021.0,Facebook,
65,filipino,a,bukas 100+ na naman mamatay,2021-02-25 08:17:59+00:00,february,2021.0,Facebook,
66,filipino,n,alam niyo ba ang sinovac covid vaccines recommended ng fda/doh sa 18-59 years old pero hindi sa health care workers dahil sa mababa niya efficacy ayon sa results ng brazil clinical trials. well,,february,2021.0,Facebook,
67,filipino,n,kaya pala yung ofw na umuwi ng cebu dalawang beses na turukan nang vaccines sa ibang bansa paguwi nagswab test positive... sa covid...,2021-02-22 13:36:38+00:00,february,2021.0,Facebook,
68,filipino,a,immunity basket sa mga vaccine company walang kwenta. . sino hahabulin sa mga vaccine side effect at vaccine death effect? eh sino gagastos pag matamaan ng side effect? gobyerno tuta na ng mga vaccine company.. biruin mo pag meron namatay at nagkasakit sa side effect di sila mahabol.. 🤣😅,2021-02-26 04:08:03+00:00,february,2021.0,Facebook,
69,filipino,a,hahaha lakas tama nito dika aabot ng negros occidental pag naturukan ka ng bakuna malamang sa langit kana makakaranas ng normal,2021-02-22 01:20:43+00:00,february,2021.0,Facebook,
70,filipino,n,bukas ilalabas ang isyu ng mga dumaraming gumaling sa covid,2021-02-21 14:02:13+00:00,february,2021.0,Facebook,
71,filipino,a,maraming namatay sa covid ngayong araw!,2021-02-20 08:03:27+00:00,february,2021.0,Facebook,
72,filipino,a,tama para mabawasan na ang population natin dahil yong mga nabakunahan na yung iba patay na,2021-02-19 10:59:39+00:00,february,2021.0,Facebook,
73,filipino,a,vaccine pa more....kayo nakaisip doh kayo magpabakuna..papatayin niyo yung mga tao sa bakuna niyo...covid covid....kung totoo yan dapat lahatin dito samin nagkahawa hawa na...dikit dikit bahay dito...kagaguhan niyo,2021-02-19 11:07:14+00:00,february,2021.0,Facebook,
74,filipino,a,ang daming patay doh!! covid lahat yan?,2021-02-19 08:01:27+00:00,february,2021.0,Facebook,
75,filipino,n,wala pang vaccine,2021-02-19 08:14:47+00:00,february,2021.0,Facebook,
76,filipino,a,hirap mag decide sa vaccine walang assurance kasi baka sa iba ok sayo hindi kasi depende sa katawan mo kung kakayanin yung side effect na normal daw na mararanasan after maturukan..mahihilo masusuka lagnat body pains..after maranasan yan tsaka iturok yung 2nd dose..gaano po ba kaepekto ang gamot at gaano kasigurado na walang mangyayaring masama.,2021-02-19 03:47:35+00:00,february,2021.0,Facebook,
77,filipino,a,paano nabigyan ng covid vaccine ang positive na beneficiary since asymptomatic yung tao meron ba itong effect sa katawan? thank you,2021-02-19 03:49:01+00:00,february,2021.0,Facebook,
78,filipino,a,mga ofw vaccinated nag positve pa yan kabado..,2021-02-18 12:53:39+00:00,february,2021.0,Facebook,
79,filipino,a,mas kabado ako pag nagugutom hindi ako makakatulog kapag may kabag ang tiyan ko kabado ako baka mamatay ako na gutom dahil sa covid na ito.,2021-02-18 12:59:58+00:00,february,2021.0,Facebook,
80,filipino,a,mas delikado pa sa mismong virus yang bakuna niyo,2021-02-18 13:05:30+00:00,february,2021.0,Facebook,
81,filipino,a,nakakatakot naman baka di makaya ng katawan ang side effect,,february,2021.0,Facebook,
82,filipino,a,"barth poland korek magka isa sambayanan ""no to vaccine""....payag kaba gawing expiremento???????tandaan niyo walang panagutan ang gumawa ng bakuna....ty ang buhay niyo hahaha",2021-02-18 01:07:42+00:00,february,2021.0,Facebook,
83,filipino,a,mga ingat tayo sa bakuna kasi yan talaga ang delikado yan talaga ang nakakamatay kasi marami ng namatay sa bakuna hindi lang pinalabas sa balita,2021-02-17 02:31:31+00:00,february,2021.0,Facebook,
84,english,a,i read this in a german newspaper‼i translate it for you: whistleblower from the berlin old people's home: the terrible death after the vaccination. for the first time there is an eyewitness report from a berlin old people's home on the situation after the vaccination. eight out of 31 senior citizens died there within four weeks of the first vaccination with the biontech / pfizer vaccine product comirnaty. the first death occurred after just six days,,february,2021.0,Facebook,
85,filipino,a,pabakuna ka tas kinabukasan may sakit kana sa dugo😥,2021-02-16 12:49:26+00:00,february,2021.0,Facebook,
86,english,a,but you can get covid after a vaccine you can still transmit it waste of time vaccine,2021-03-29 10:06:16+00:00,march,2021.0,Facebook,
87,filipino,a,sabi ko na nga ehh aabot ng 10k yan ehh pag nag ecq na sabay mag 11k naman yan nako nakakatakot na,2021-03-29 08:01:50+00:00,march,2021.0,Facebook,
88,filipino,a,hindi ako natatakot sa fake covid ang kinakatakutan ko yung magugutom dahil nawalan ng kita,2021-03-28 18:50:42+00:00,march,2021.0,Facebook,
89,filipino,a,bakit sa frontline kayo tutok bigyan ninyo lahat ng mamayan na may gusto ng vaccine dito sa ibang bansa ang bilis nila mag ayos ng vaccine online registration lang ikaw hahanap hospital kong saan gusto kong may open sa vaccine na date ang mga hospital my bayad ba pa vaccine sa pinas baka gsto rin pagkakitaan nila,2021-03-28 02:48:47+00:00,march,2021.0,Facebook,
90,filipino,a,kailangan nyo kung sino ang ayaw or gusto sa bakuna.hindi nga mandatory pero no vaccines no work subra na panggipit nyo sa mga tao.wala ng karapatan mag desisyon sa sarili.tandaan nyo lahat kagaguhan nyo babalik sa inyo.,2021-03-28 03:10:01+00:00,march,2021.0,Facebook,
91,filipino,a,pwede ba ang ibang sakit hindi i convert sa covid.kasi pag may namatay covid agad ano ba kayo panginoon...mag aral kayo sa katotohan bago kayo magsalita..,2021-03-27 14:57:16+00:00,march,2021.0,Facebook,
92,english,a,do you have an online database of vaccine reactions because you are vaccinating people of unlicensed and experimental covid vaccines that have been harming and killing people worldwide??,2021-03-27 05:09:04+00:00,march,2021.0,Facebook,
93,english,a,"what drug then is ok to be used to treat covid-19? seems like everything that could work to prevent it is labeled ""dangerous"" by you guys.",2021-03-26 08:17:30+00:00,march,2021.0,Facebook,
94,filipino,a,tigil nyo na po ang kalokohan na yan maawa na kayo sa mga kagaya namin mahihirap,2021-03-26 07:48:40+00:00,march,2021.0,Facebook,
95,filipino,a,grabe na sinasabi ng doh di niyo na ba titigilan takutin ang mga tao sa gutom kami mamatay dahil gusto niyo palaging i lockdown ang mga lugar di covid kundi kupit ang gusto niyo 😠,2021-03-26 07:54:31+00:00,march,2021.0,Facebook,
96,filipino,a,alam nyo kung totoong may covid at nakakamatay ubos na sana dito sa amin yong mga taong pagala gala sa kalye kaso sa observation ko mas lalo silang dumadami alam nyo kung bakit dahil di na kinakaya ang hirap ng buhay depression na te! kung sino payong taong nakaupo na ka aircon mag hapon,,march,2021.0,Facebook,
97,filipino,a,ask ko lang po kung pwede ako magpa vaccine? meron kasi ako allergy both sa medicine and food?,2021-03-24 02:17:08+00:00,march,2021.0,Facebook,
98,filipino,a,mamamatay muna ako bago niyo ako maturukan nyan.,2021-03-22 12:17:20+00:00,march,2021.0,Facebook,
99,filipino,a,pwede po ba ako mag pa bakuna may maintenance po ako losartan 50 mg at allergy po ako mefenamic na may ibupropen? thanks po sana masagot ang katanungan ko.,2021-03-30 01:59:14+00:00,march,2021.0,Facebook,
100,filipino,a,pag may maintenance ako para high blood constipation at diabetis pwede ba ako magpavaccine senior ako 90 years old,2021-03-30 02:01:43+00:00,march,2021.0,Facebook,
101,filipino,a,hanggang ngayon wala pa rin bakuna sa amin. where na you?,2021-04-29 10:11:25+00:00,april,2021.0,Facebook,
102,filipino,a,"magpa vaccine pero hindi pa din babalik sa normal ang buhay kailangang mag face mask , distancing, andami pa ding restrictions dahil pwede ka pa ding makahawa at mahawaan, e para saan pang nagpa vaccine ka",2021-04-29 10:35:26+00:00,april,2021.0,Facebook,
103,filipino,a,kailan po kami magkaka bakuna sa legazpi city....senior citizen po ako hanggang ngayon hindi pa nababakunahan please doh bigyan mo naman kami dito sa legazpi kahit anong klaseng bakuna gusto pa namin mabuhay.please lang doh....thanks,2021-04-29 00:18:58+00:00,april,2021.0,Facebook,
104,filipino,a,doh kailan kaya makakuha ng vaccine ang mga seafarer di kami maka alis ng walang vaccine mandatory sa kompanya namin lahat na ng lugar na may nag vavaccine pinuntahan ko na pero wala pa daw ang pang ofw at seafarer doque ano na may pamilya din kami jusko,2021-04-29 00:30:44+00:00,april,2021.0,Facebook,
105,filipino,a,manny ic hays kaya delikadong mag pa bakuna pag di kinaya ng katawan,2021-04-28 13:05:13+00:00,april,2021.0,Facebook,
106,filipino,a,wala na pong flu at pneumonia; covid na ang bagong sakit ngayon,2021-04-28 13:28:58+00:00,april,2021.0,Facebook,
107,filipino,a,gusto ko pong magpabakuna ng para flu at pneumonia ngunit laging ubos at kulang ang bakuna sa healthcenter dito sa bacood sta. mesa. sana may announcement kayo kung anong araw laging may available na bakuna. senior citizen po.,2021-04-28 13:39:16+00:00,april,2021.0,Facebook,
108,filipino,a,ang daming vaccine para daw sa mga sakit pero bakit ang mga tao magkakasakit parin at mamamatay.mapupuno nalang sa turok ang katawan ng tao pero mamamatay parin .so anong silbi ng bakuna?may bakuna bang makapag prevent ng kamatayan?,2021-04-28 13:42:31+00:00,april,2021.0,Facebook,
109,filipino,a,paano nyo nalalaman na nakapagbigay ng proteksyon ang covid vaccine laban sa covid kung hindi nyo nalalaman kung ano ba talaga ang tunay na gamot sa covid?wala pa kayong proof na epektibo and covid vaccine laban sa covid dahil on trial pa lang sa tao lahat ng covid vaccine kung baga experimental palang lahat.,2021-04-28 13:06:17+00:00,april,2021.0,Facebook,
110,filipino,a,"kailan po ba magkakabakuna ang mga seniors ng bulacan? madami pong cases kami at katabi lang po namin ang manila, madaming doon nag wowork at umuuwi araw araw pa rin. sana po matugunan niyo agad ang aming kailangan. salamat po.",2021-04-28 13:53:33+00:00,april,2021.0,Facebook,
111,filipino,n,kahit na sino pa ang ka partner ng doh...kung experimental vaccines yang pino promote nyo...ay maraming salamat na lang po. sa inyo na po yan🤣,2021-04-28 05:31:59+00:00,april,2021.0,Facebook,
112,english,a,i'm 65 and i don't like any kind of this vaccines‼😒,2021-04-27 12:35:37+00:00,april,2021.0,Facebook,
113,filipino,a,basahin mo po ang mga posts ng fox29 news sa fb tungkol sa side effects ng mga vaccines na yan,2021-04-27 13:15:45+00:00,april,2021.0,Facebook,
114,filipino,p,doh. pakisabi kay sec duque mag impose na ng travel ban from india. napakataas ng covid cases don per day at napakataas din ng mortality rate. dapat matuto na kayo ng leksyon from previous year. maawa kayo sa mga filipino.,2021-04-27 11:09:33+00:00,april,2021.0,Facebook,
115,english,a,the isolation faclity must be constructed covid 19 will be here from now on,2021-04-27 06:03:39+00:00,april,2021.0,Facebook,
116,english,a,no to experimental vaccines.,2021-04-27 01:41:50+00:00,april,2021.0,Facebook,
117,filipino,a,"bakit halos lahat merong ""against"" na nakasulat dun sa vaccine efficacy... yung sinovac walang nakasulat na against, nagtatanong lang po kung ano ang ibig sabihin nung sa sinovac. thank you po",2021-04-25 13:04:16+00:00,april,2021.0,Facebook,
118,filipino,a,"doh, dapat kailangan ang bakuna please😁",2021-04-25 16:08:20+00:00,april,2021.0,Facebook,
119,filipino,a,walang silbe ang bakuna kung may side effect ito pabakuna ka tapos mahawaan ka pa rin pala ng covid useless lang yan dapat yan gamot mahal ng bakuna wala naman palang kasiguraduhan ang buhay pagnaturukan ka,2021-04-25 11:09:49+00:00,april,2021.0,Facebook,
120,english,a,"the conventional vaccine is useless in battling the virus that continues to mutate. is doh ready for a mutation that is fatal and fast spreading, like the brasil and india variant? this is not far to occur because until now the infection has not yet flattened. wake up doh, before it's too late. 😭😭😭",2021-04-25 08:47:14+00:00,april,2021.0,Facebook,
121,taglish,a,checking lang po. is it safe na ilibing (not creamated) ang namatay sa covid? sa aming probinsya sa magsaysay occidental mindoro nakabalot lang ng body bag at binabaon.. safe po ba ito sa community?,2021-04-24 21:25:49+00:00,april,2021.0,Facebook,
122,filipino,a,may namatay na doctor at midwife sa covid vaccine bakit wala balita sa dyaryo ko lang nabasa,2021-04-24 13:37:29+00:00,april,2021.0,Facebook,
123,taglish,a,ano solution ninyo doh sa activity ng community pantry? gathering po iyon at super spreader ng covid virus,2021-04-24 10:39:19+00:00,april,2021.0,Facebook,
124,taglish,a,"hi. is there legal liability for the likes of grab, metromart, lalamove angkas drivers if they loiter in residential premises and we get covid?",2021-04-24 03:35:01+00:00,april,2021.0,Facebook,
125,filipino,a,ayoko sa bakunang lason marami na namatay dinidinay niyo lang,2021-04-23 17:21:50+00:00,april,2021.0,Facebook,
126,filipino,a,lito hapita eh di magpaturok ka ng vaccine tingnan ko lang ano mangyari,2021-04-23 12:21:34+00:00,april,2021.0,Facebook,
127,taglish,a,more recoveries please....sana mas marami ang gumaling at wala nang msasawi sa covid,2021-04-23 10:42:46+00:00,april,2021.0,Facebook,
128,english,a,"there's no sense comparing viruses and wars. even the healthiest people can still contract covid if they are stupid, reckless and unhygienic. it's okay for such people to die. what is not okay is if they cause others to die.",2021-04-23 11:37:25+00:00,april,2021.0,Facebook,
129,filipino,a,wag itaguyod ang vaccine nakakamatay. itaguyod ang gamot ng covid ang ivermectin,2021-04-22 06:14:47+00:00,april,2021.0,Facebook,
130,filipino,a,maraming health worker ayaw din magpavaccine... dahil alam nila ang panganib... kung sino gusto magpa vaccines sila lang turukan niyo... stop the lockdown... maawa kayo sa simpleng mamamayan... wala ng hanap buhay lalo niyo pang pinapahirapan dahil sa protocols niyo doh at w.h.o 🤬🤬🤬🤬🇵🇭,2021-04-22 03:11:33+00:00,april,2021.0,Facebook,
131,taglish,a,they want to still deny the true effect of vaccine nasaan na ng malaman yang masamang epekto ng vaccine may mga nangamamatay na sa mga natuturukan maraming testimony ng kamatayan after covid vaccine ...bakit magpapabakuna pa,2021-04-22 03:50:11+00:00,april,2021.0,Facebook,
132,english,a,you are risking the lives of others by your experimental vaccine sales,2021-04-21 12:23:33+00:00,april,2021.0,Facebook,
133,filipino,a,"jing serbil di ko po alam eh. lima o sampung beses ka dapat ma injectio nan nyan pag severe covid patient ka, depende sa katawan mo kung mabilis ka makakarecover, 10k din ang isang bote nyan. isa pa may side effect yang gamot na yun maaring tamaan yung liver mo kaya everyday kailangan ka kuhanan ng dugo para icheck yung liver mo. kung sa hospital ka mag ggamot nyan pipirma ka pa ng waiver katunayan na papayag ka.",2021-04-21 12:29:31+00:00,april,2021.0,Facebook,
