,lang,class,message,created_time,month,year,platform,Unnamed: 0,username
40,filipino,a,doh wala epekto bakuna niyo. simula nung nagpabakuna kapit bahay namin suka siya ng suka duwal ng duwal tapos nilalagnat namamayat na ho siya kakasuka. sobrang delikado po ng bakuna niyo dami po masamang epekto,2021-04-10 11:01:50+00:00,april,2021.0,Facebook,,
41,taglish,a,"di ba po dapat mas maganda na walang covid positive na naka home quarantine lang kahit mild pa? dapat po sa hospital, kung hindi enough ang kagamitan sa hospital sa mga quarantine facilities na lang kasi imagine yung mga doctors na with complete ppe,knowlegde and experience nahahawaan pa at namamatay yung pa kayang mga nagbabantay sa covid patient na nasa bahay lang at hindi naman ganon ka expert? i think you should change other things in your protocol.",2020-04-23 10:19:24+00:00,april,2020.0,Facebook,,
42,filipino,a,wag niyo na sana pahabain ang lockdown o quarantine marami kasing tao na nagugutom palibhasa kayo may ayuda agad yung ibang tao kasi di na inaabot ng ayuda marami ng mamatay pag ka pinahaba niyo pa yan at babagsak ang pilipinas sa ginagawa niyong ganyan!,2020-04-19 09:13:48+00:00,april,2020.0,Facebook,,
43,taglish,a,I can't sleep. I've been thinking about life and how the pandemic could affect my plans. 🙃  buti nalang may nagpapasaya sa akin kahit papaano naiibsan anxiety ko. 🙂,2021-04-16 01:13:06+00:00,April,2021.0,Twitter,,
44,filipino,a,"kahit gawin namin yan kung yung protocol ng hospital hindi na tumanggap ng patient na may covid symptoms eh mahahawaan kami sa ginagawa nyong kapalpakan.yung kapitbahay namin nagpunta sa san lazaro hospital hindi tinanggap may covid symptoms, dapat daw makikipagcoordinate sa barangay..umuwi sa bahay..ayun kinabukasan patay..ngayon pui buong family..naka lockdown buong eskinita.yung pui pum na family nandyan lang sa bahay.aantayin niyo pa na may mamatay ulit?bakit hindi nyo man lang itest ung buong family???😡😡",2020-04-19 06:20:42+00:00,april,2020.0,Facebook,,
45,filipino,a,tanong lang po sana kung yung 6k plus na confirmed and suspected or probable covid 19 kailan po plano mailipat sila sa mga quarantine facilities para doon niyo po sila magamot? kasi hanggat nasa mga bahay bahay yung mga suspected na positive eh malabo po na flattened ang curve.. kasi makakahawa at makakahawa lang din po sila.. dapat po sila uyng ma isolate at ma quarantine sa mga quarantine facilities at totally mahiwalay sa mga healthy people sa community. asap!,2020-04-18 12:43:46+00:00,april,2020.0,Facebook,,
46,filipino,a,parang awa niyo na gusto niyo ba mamatay ang marami dahil sa covid please wag gawing biro pare pareho tayong mahihirapan sumunod na tayong lahat.,2020-04-17 13:41:50+00:00,april,2020.0,Facebook,,
47,filipino,a,hindi makakatulong sa pagkontrol ng covid19 ang home quarantine para sa mga positive na sa covid19. kung ang may sintomas ay hindi magtest sa covid19. ano gagawin hintayin na lumala sa bahay before malaman na positive.,2020-04-12 05:24:10+00:00,april,2020.0,Facebook,,
48,filipino,a,"nakakatakot na naman yang full control at targeted families. sana hindi lang sa kamag-anak, kaibigan o kakilala",2020-04-02 01:47:41+00:00,april,2020.0,Facebook,,
49,filipino,a,sana hindi na umabot sa 3k ang positive sa covid sa pilipinas kawawa tayo mga kababayan ko lalo na yong mahihirap na walang makain sa pang araw araw..,2020-04-01 08:15:17+00:00,april,2020.0,Facebook,,
50,filipino,a,"kahit po wala na kami makain mag stay at home lang po ba kami?hindi po kami mamamatay sa virus,mamatay kami sa gutom.😥😭",2020-05-25 04:07:19+00:00,may,2020.0,Facebook,,
51,filipino,a,"pwede po bang mag gcq na ang talisay batangas after ng may 15 ? covid free naman kami sa lugar namin eh , ang problema lang yung mga kalapit lugar may nagpositive tulad ng tanauan . kawawa yung mga hindi makapag trabaho dito sa lugar namin . tapos pinasukan pa ng mga pum ung club balai isabel :3",2020-05-06 04:17:07+00:00,may,2020.0,Facebook,,
52,filipino,a,"basta ngayon iisa na lang ang sakit, kahit ano pa klase ang sakit mo, gagawin nilang covid,, ay nako ano ba yan,",2020-06-30 03:08:20+00:00,june,2020.0,Facebook,,
53,taglish,a,"ask ko po kasi may nagpa swab test sa office namin then pumasok agad kinabukasan, ok lang po yun di na sila na quarantine? di daw kasi sila na expose sa employee na positive sa covid19? di ba dapat po ay mag hintay din muna ng result. at yung mga 60 years old above, di po ba pwedeng i require na lnag ng work from home? salamat po at ingat",2020-06-16 03:46:56+00:00,june,2020.0,Facebook,,
54,filipino,a,"lahat tayo meron virus o covid... kahit simpleng ubo at sipon meron ka, pag nagpatest ka 100% positive kana sa covid kasi nga nabibilang yan ubo at sipon na virus... ang hindi sinasabi ng w.h.o at doh kayang magamot o malabanan ang covid ng ating immune system... kaya lang naman tayo nagkakasakit dahil humihina ang immune system natin... tinatakot lang tayo ng w.h.o at doh at kasama ang media... kaya good luck nalang sa sunod na plano nilang vaccine.😡 pinagkakaperahan lang nila ang ating gobyerno yan w.h.o at doh. sa mga ppe, facemask, rapidtest, vaccines etc. 😡😡😡 at kahit abutin pa tayo ng 100 years mabuhay hindi na yan mawawala ang covid tulad ng ebola, dengue at sars. mas nakakatakot ang ginagawa nilang pag control sa atin at tinatakot tayo sa covid at baka nerbyos ang pwede mo pang ikamatay niyan...",2020-07-23 13:51:47+00:00,july,2020.0,Facebook,,
55,filipino,a,pa help po nawalan po ako pang amoy pero may pang lasa po ako wala naman ako lagnat walang sipon walang sore throat symptoms po ba siya ng covid ?,2020-07-21 20:09:26+00:00,july,2020.0,Facebook,,
56,filipino,a,"ubo covid na agad ,tapos nagtatae ka covid ulit, ang mahirap niyan baka my sira na yang aparato na mga gamit ,puro positive grabe",2020-08-12 07:27:16+00:00,august,2020.0,Facebook,,
57,filipino,a,ang ayaw ko sa kanila konting ubo at sipon lang o nagka trangkaso lang talaga ang tao e covid na agad? wala silang matibay na dahilan para sabihing covid nga. kung lahat ng gamot subukan nila mas maganda pa siguro kinalabasan hindi puro tutol sila pag may sinasabi na gamot. di wari subukan,2020-08-12 01:48:05+00:00,august,2020.0,Facebook,,
58,english,a,"yes faceshield face mask cannot protect.us from..covid,,,,how about if doh.. would require using gloves because theres. virus in money,,,,",2020-09-30 18:30:49+00:00,september,2020.0,Facebook,,
59,filipino,a,kailan ba matatapos 'tong pandemic na 'to? mas marami pang namamatay dahil sa suicide kesa sa covid. iba na apekto nitong pandemyang 'to sa mental health ng bawat isa ☹️,2021-02-28 18:51:15+00:00,February,2021.0,Twitter,,
60,filipino,a,Pati di na rin stable mental health ko talaga. Grabe yung anxiety dulot ng pandemic sa akin. Para lang kasing naghihintay kung kailan bibisita virus sa bahay para manundo. May mga kamag anak na kaming nawala dahil dun at di ko kaya isipin na kung umabot din dito sa bahay mismo,2021-04-07 18:56:11+00:00,April,2021.0,Twitter,,
61,filipino,a,mga gustong bumalik sa ecq at lockdown pakiusap ipadlock nyo nalang mga sarili nyo sa bahay nyo at huwag na huwag na kayong lumabas para hindi kayo mahawaan ng covid. huwag kayong mangdamay sa mga naghihirap ngayong maghanap buhay!!! gusto din naming mamuhay at makakain ng maayos!!! 🤬🤬🤬,2020-10-17 22:50:31+00:00,october,2020.0,Facebook,,
62,filipino,a,"dahil sa pandemic sobra-sobra na anxiety ko when it comes to public speaking, humanista po ako. Hindi ko na talaga kaya😔🤚🏼",2021-04-13 12:09:26+00:00,April,2021.0,Twitter,,
63,english,a,"I've been experiencing a lot of breakdowns, stress, and anxiety due to financial issues, poor connection, struggles on the studying habit, difficulties on focusing on the class, and with the multiple tasks at a time. I tend to be an active student but lately, I've been losing interest to my studies-- been losing hope to continue. This setup made me questioned myself-- ""Am I really learning? Or just afraid of being left behind?"". ",2021-04-05 0:00:00,april,2021.0,Facebook,,
64,taglish,a,"Gusto ko nalang matapos lahat, itong pandemic, thesis ko, pag aaral ko, stress, anxiety, insecurities, and all the negative thoughts that i have :&lt;",2021-04-15 21:19:41+00:00,April,2021.0,Twitter,,
65,english,a,"I never cried because of acads but with this set up now, I can't even count how many times I cried before sleeping knowing that tomorrow is another horrible day. No, it's not about the grade. It's about anxiety that slowly building up in my system.",2021-04-06 0:00:00,april,2021.0,Facebook,,
66,taglish,a,gago the anxiety caused by this pandemic is real talaga pota kinakabahan na ko makipag usap sa ibang tao,2021-04-18 16:44:51+00:00,April,2021.0,Twitter,,
67,english,a,it is not easy for sure. at times i want to regret and reevaluate my choices but interim check on why i started keeps it going even though it's hard because of pandemic...,2021-02-02 22:41:46+00:00,February,2021.0,Twitter,,
68,taglish,a,"Ang Hirap! Ang hirap hirap! May I request for prayers that I may keep my hope na MERON pa tayong kinabukasan. We've been struck with a double edge sword, this GOVT and this pandemic! Ang hirap mga kababayan.. alam ko I'm not the only whose feeling this moment of hopelessness! 😢",2021-03-21 11:26:30+00:00,March,2021.0,Twitter,,
69,filipino,a,"Ang hirap ng panahon ngayon, di mo alam kung unmotivated ka ba or limitado lang talaga pwedeng mong gawin dahil pandemic. Nakakalungkot. 😕",2021-03-21 22:18:39+00:00,March,2021.0,Twitter,,
70,filipino,a,ang hirap mag-resign sa ganitong panahon at sitwasyon kasi kahit hirap na ang kalooban mo eh tiis tiis na lang kasi pandemic,2021-03-26 01:40:04+00:00,March,2021.0,Twitter,,
71,filipino,a,"Nakakalungkot gaano kahirap para sa ibang estudyante ngayon yung online class na yan, sobrang unhealthy na sa mental tapos dahil pandemic hirap mag pa open up. Tapos ang ending kapag kuhaan ng card, lahat ng galit ib-blame pa estudyante kesyo 'di nag aaral 'di nag aayos.",2021-03-26 19:15:42+00:00,March,2021.0,Twitter,,
72,filipino,a,Ang hirap netong pandemic😢,2021-03-26 18:40:15+00:00,March,2021.0,Twitter,,
73,filipino,a,"Been down lately, pandemic na nga at online class ang ganap, ang pangit pa ng approach. Kaya ang hirap talaga matuto.",2021-03-27 00:01:26+00:00,March,2021.0,Twitter,,
74,filipino,a,"nakaka drain 'tong pandemic na 'to, nakakawalang gana sa lahat. hindi na kaya ng mental health ko pag tumagal pa na ganito. ang hirap mag look forward everyday, kasi di mo alam kung ano susunod na mangyayari, kung hanggang kailan ba ito",2021-04-03 18:35:40+00:00,April,2021.0,Twitter,,
75,filipino,a,"Dulot din po ng pandemic, hirap po kaming makahanap ng iba pang paraan para masagot ang lahat lahat ng bayarin.",2021-04-02 18:08:32+00:00,April,2021.0,Twitter,,
76,filipino,a,Hirap humanap ng trabaho ngayong pandemic. Tipong ang daming gastusin,2021-03-30 07:21:04+00:00,March,2021.0,Twitter,,
77,taglish,a,we've received news na entire families of our relatives are positive or in quarantine. ang hirap mag function during a pandemic na you're constantly wondering if your going to lose a love one today or tomorrow. hindi na tama na ang tagal na pero wala pa rin maayos na solutions.,2021-04-04 14:25:32+00:00,April,2021.0,Twitter,,
78,taglish,a,"Ang hirap maging productive for me nowadays. Walang natutunan sa mga subjects that you used to before. Tapos, there is this self-downing feeling na ""how come everyone but me, gets it?"". Have I not come along the pack? Why am I suddenly being left behind. I hate pandemic anxiety.",2021-04-06 07:48:30+00:00,April,2021.0,Twitter,,
79,filipino,a,"Hindi ko na kinakaya 'tong pandemic sabay sa acads. Nahihirapan na 'ko nakikita nahihirapan mama ko. Tumumal business namin hirap kami kumuha ibang customers bwisit na tangina. Nakaka frustrate na wala ako magawa, ang hirap humanap ng pera pang tuition namin.",2021-04-05 20:19:56+00:00,April,2021.0,Twitter,,
80,taglish,a,"People going jobless, losing loved ones, getting sick, even dying  I’m worrying about resolving work problems, longing for the intimacy of social interactions, and missing the normalcy of things  Ang hirap to be a functional person under this government in this pandemic tangina",2021-04-05 19:05:26+00:00,April,2021.0,Twitter,,
81,english,a,"I think i know the feeling of being hopeless. With all the things going on, it's so hard to have fun and be happy. We feel afraid of this pandemic especially for this we love. Lord,",2021-04-05 18:12:12+00:00,April,2021.0,Twitter,,
82,filipino,a,Ang hirap kumilos ngayong pandemic. Ang dami kong plano pero di ako makapag simula. Lord tulong naman po.,2021-04-07 22:02:35+00:00,April,2021.0,Twitter,,
83,filipino,a,"ayaw kong lumalabas kasi grabe yung anxiety ko ngayong may pandemic. Isipin pa yung gastos 'pag na admit sa hospital, 3k per day grabe. Ang hirap na nga ng buhay hindi pa ma shoulder ng gobyerno yung gastusin kahit sa laki ng inutang.",2021-04-08 14:32:17+00:00,April,2021.0,Twitter,,
84,taglish,a,ang hirap naman magka-emergency at this time of pandemic. napaka-hirap. walang choice but to stay home. i hope everything’s okay 🥺,2021-04-09 12:23:37+00:00,April,2021.0,Twitter,,
85,taglish,a,"I'm overthinking with my academics again. sobrang hirap ng sem na to, bukod sa naligaw ako ng section, nararamdaman ko na ang exhaustion and I'm starting to lose interest with my studies. My motivation is slowly fading added by pandemic anxiety. I'm doubting my capabilities. feel ko di ako DL",2021-04-09 22:27:00+00:00,April,2021.0,Twitter,,
86,filipino,a,ang hirap magkasakit ngayong pandemic. i have to check often kung may panlasa pa ko. shet. 🤦‍♀️,2021-04-10 09:17:48+00:00,April,2021.0,Twitter,,
87,taglish,a,"it's hard to see things clearly when it's pandemic. Ang hirap magadjust, makita yung bagay na dapat nararanasan namin kaso nuetang pandemic. What if f2f yung 100 students sa seminar 🙁 is nakita at nakaharap namin? Tangina kase",2021-04-12 10:10:22+00:00,April,2021.0,Twitter,,
88,filipino,a,"kailangan ko talaga mas matutunan kung pano pakalamahin sarili ko dahil bigla bigla nalang ako inaatake nang anxiety attacks ko, kailangan ko din ilayo sarili ko sa mga Tao at bagay na nakakapag trigger sa anxiety  ko tangina ang hirap ng ganito :)",2021-04-29 12:49:30+00:00,April,2021.0,Twitter,,
89,english,a,Everyday I read news after news of people or their loved ones dying because of the virus. It’s frustrating because we could’ve saved lives if the government focused all their efforts towards the handling of the pandemic.  it's hard to try and keep yourself sane everyday.,2021-04-11 15:42:02+00:00,April,2021.0,Twitter,,
90,filipino,a,Ang hirap hirap kumilos ngayong pandemic. Sobrang stress. 😭 Sira lahat ng plano. 😩💔😟,2021-04-10 17:11:57+00:00,April,2021.0,Twitter,,
91,filipino,a,"Yung may grabe na nga anxiety mo tapos sabay pa ng pandemic. Ang hirap i-manage ng sanity mo.😞 Mental breakdown na naman tayo, dude.🤦 Tapos ubos na stocks natin sa staff house. Dahil ako lang naman ang kumikilos, no choice need ko maggrocery tomorrow. Hirap magsalita sa kasama",2021-04-10 16:01:48+00:00,April,2021.0,Twitter,,
92,taglish,a,"Ang hirap pala when you're in the situation na sobrang lapit na (mga) tao na sayo yung nag-positive for COVID-19, ano? Nandoon yung takot dahil alam mo yung sitwasyon ng healthcare system na meron tayo ngayon, nandoon yung poot dahil wala pa ring matinong response for pandemic.",2021-04-13 13:35:29+00:00,April,2021.0,Twitter,,
93,taglish,a,"Ang hirap sa pandemic na to, sa simula nakakatakot   Then you get used to the fucked up conditions  Tapos pag nagkaproblema pamilya mo, even if it's not about covid, matatakot ka nanaman kasi sumasabay pa etong covid sa proproblemahin mo",2021-04-17 04:39:55+00:00,April,2021.0,Twitter,,
94,filipino,a,Ang hirap na nga lang ng sitwasyon natin ngayon dahil sa pandemic tapos ganyan pa kayo mag pahirap saamin.wala kayong awa sinasamantala niyo kami dahil baguhan lang kami.kung ano man ang narasan niyo noon sana wag niyong iparanas samin dahil wala kaming kasalanan.,2021-04-16 21:08:43+00:00,April,2021.0,Twitter,,
95,filipino,a,Ang hirap kapag sabay sabay yung bayarin tapos pandemic pa tangina 💔,2021-04-16 13:13:16+00:00,April,2021.0,Twitter,,
96,filipino,a,Hirap kumota habang nasa pandemic at mataas ang anxiety dahil naka-14-day quarantine ka. Pero ano pa nga ba. Trabaho! Dahil wala ka namang aasahan kundi ang iyong sarili. Bwakana! #adolteng,2021-04-16 12:43:01+00:00,April,2021.0,Twitter,,
97,filipino,a,Sobrang napapadalas na naman ang anxiety ko dahil sa walang ginagawa. Ang hirap pero kinakaya ko naman ayos lang ako pero deep inside hindi talaga 😥,2021-04-29 11:18:07+00:00,April,2021.0,Twitter,,
0,english,d,"You know how much it hurts when you're always sad without any particular reason, you'll always ask your worth, ask why does this happening to yourself, do I really deserve this kind of pain? I'm breathing but it feels like I'm dead inside, I'm sorry, for being this kind of person, cheering up and motivating others is my hobby, it's the only positive trait that I have in myself. I'll admit it, I was a depressed person, experiencing anxiety every day and night, crying for no reason, but, I'm thankful, thankful for those persons who didn't get tired of understanding and loving me despite of my mental health, despite of the dramatic life that I have. Thank you, for not giving up on me. ",2021-04-10 0:00:00,april,2021.0,Facebook,,
